Eid,FallPas,CowYr,CowNo,CowBrd,Type1,Origin,SireYr,SireNo,Damno,SrvSirBrd,SrvSirNo,Project,FallDate,FallWt,FallDisp,FallHgtTp,FallHgtLz,FallBCS1,FallBCS2,Preg,FallComment,WinDate,WinWt,WinDisp,WinBCS1,WinBCS2,SprDate,SprWt,SprBCS1,SprBCS2,SumDate,SumWt,SumDisp,SumBCS1,SumBCS2,CullReason,Herd,Wt0113,CowwtBr
840003008063830,15,2010,7,AnxBr,AnxBr,Raised,,5098,4170,An,6025,IGOS-E,11-6-2013,1082,,53,54.25,5,5,P,,,,,,,,,,,,,,,,,,1109,1026
840003008063997,WSH,2000,10,An,AngSm,Florida,,95204,89013,An,6056,Ang-Flush,11-5-2013,1083,1,49,49.51,4,4,O,,,,,,,,,,,,,,,,,,1525,1101
840003008063837,15,2010,10,AnxBr,AnxBr,Raised,,473,2085,An,106,IGOS-E,11-6-2013,1290,3,57,58.21,5,5,P,,,,,,,,,,,,,,,,,,1093,1297
840003008063823,12,2010,21,AnxBr,AnxBr,Raised,,4014,5179,An,6025,IGOS-W,11-7-2013,1608,2,56,55.56,6,6,P,,,,,,,,,,,,,,,,,,1383,1462
840003008063827,15,2002,27,An,AngSm,Florida,,,91035,An,106,IGOS-E,11-7-2013,1245,1,53,54.16,4.5,4.5,P,,,,,,,,,,,,,,,,,,1363,1293
840003008063825,12,2010,43,AnxBr,AnxBr,Raised,,6054,5100,An,106,IGOS-W,11-7-2013,1257,2,52,51.8,5,5.5,P,,,,,,,,,,,,,,,,,,1247,1189
840003008063974,WSH,2000,53,An,AngSm,Florida,,98002,98048,An,6056,Ang-Flush,11-5-2013,1021,2,49.5,48.87,5.5,5,O,,,,,,,,,,,,,,,,,,1326,1248
840003008063821,15,2010,66,AnxBr,AnxBr,Raised,,473,2128,An,6025,IGOS-E,11-7-2013,1498,2,55.5,58.1,4.5,5.5,P,,,,,,,,,,,,,,,,,,1558,1528
840003008063954,15,1998,89,An,AngSm,Florida,,95124,95088,An,6056,IGOS-E,11-5-2013,1273,1,48.5,49.41,5.5,6,P,,,,,,,,,,,,,,,,,,1289,1121
840003008063822,15,2010,98,An,AngLg,Raised,,472,208,An,106,IGOS-E,11-7-2013,1253,4,55,56.65,4.5,5,P,,,,,,,,,,,,,,,,,,1393,1221
982000201903721,13,2011,108,An,AngSm,HIL,,,,Rd,1008,IGOS-E,11-21-2013,1220,5,50.5,50.56,5.5,5.5,P,,,,,,,,,,,,,,,,,,1049,1030
982000201903671,9,2011,110,An,AngSm,HIL,,,,Rd,1028,IGOS-W,11-4-2013,852,4,49,49.3,5,4,P,Yellow 924 eye,,,,,,,,,,,,,,,,,945,948
840003008063844,9,2010,110,AnxBr,AnxBr,Raised,,471,5030,An,106,IGOS-W,11-6-2013,1082,1,52,51.48,4.5,4.5,P,,,,,,,,,,,,,,,,,,1203,1064
840003008063841,15,2010,113,An,AngLg,Rais-Lg,,472,823,An,106,IGOS-E,11-6-2013,1298,6,53.5,54.37,4.5,4.5,P,,,,,,,,,,,,,,,,,,1403,1278
